Id;SplBatch;SplMass;StdC23;Origin;Group;SamplingDate;C14.0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
HF_U07 AqB;11;61.8;30;BornCap;BornCap;06/07/2021;42;152.89;50.39;52.6;27.17;143.9;83.14;154.82;86.1;248.06;76.95;57.48;156.39;32.19;57.15;462.85;22.14;84.75;75.25;503.53;597.65;53.51;22.88;160.22;197.42;218.87;15.39;29.67;100.67
HF_U08 AqB;11;58.9;30;BornCap;BornCap;06/07/2021;52.97;170.77;53.47;71.16;31.86;192.75;106.59;182.95;92.87;281.1;65.33;64.15;152.21;45.85;59.38;398.28;22.42;72.85;67.12;476.62;598.71;50.03;15.67;119.9;169.34;189.09;20.28;37.39;86.88
HF_U01 Plo;12;63.6;30;BornCap;BornCap;02/11/2021;95.62;57.23;15.99;30.07;30.13;258.36;190.51;222;210.35;304.62;61.68;53.84;40.62;32.88;122.4;474.46;34;64.93;77.06;1103.91;541.08;72.49;14.92;113.63;202.34;298.97;36.37;60.28;127.16
HF_U02 Plo;12;71;30;BornCap;BornCap;02/11/2021;198.04;131.81;54.98;47.71;53.11;370.13;218.39;277.18;228.57;320.33;87.21;55.98;56.68;49.28;185.65;599.6;43.39;84.72;63.27;1099.42;646.58;72.4;22.36;112.45;194.22;254.84;29.13;66.8;220.44
HF_U03 Plo;12;71;30;BornCap;BornCap;02/11/2021;176.95;132.56;52.45;51.99;56.13;345.76;208.64;256.37;180.75;321.21;71.37;56.14;52.49;41.44;162.03;481.34;38.69;67.9;63.04;874.8;616.18;77.37;18.76;109.59;218.23;206.53;34.24;63.61;197.64
HF_U04 Plo;12;73.1;30;BornCap;BornCap;02/11/2021;255.13;150.35;59.02;59.91;66.16;482.02;304.75;376.12;382.4;460.53;111.83;76.72;82.11;76.3;233.57;681.12;54.62;113.06;67.84;1153.33;788.57;90.11;26.89;128.49;208.28;245.7;34.77;101.65;238.71
HF_U05 Plo;12;68.6;30;BornCap;BornCap;02/11/2021;187.45;151.28;57.39;53.7;66.09;413.13;208.73;348.12;204.93;327.27;66.62;64.47;53.24;43.7;175.27;504.12;44.79;70.59;64.8;917.07;583.72;69.46;16.77;112.62;195.2;205.59;35.5;71.25;170.49
HF_U06 Plo;12;71;30;BornCap;BornCap;02/11/2021;162.96;107.57;37.06;42.53;47.7;307.68;199.74;236.12;232.91;278.06;79.08;51.7;44.14;38.58;163.37;437;37.06;60.29;56.85;872.87;496.28;66.89;20.12;84.05;188.39;205.28;31.17;62.29;165.99
HF_U07 Plo;12;61;30;BornCap;BornCap;02/11/2021;232.4;153.67;57.95;65.26;72.76;487.45;279.42;307.72;275.53;407.19;88.41;62.68;69.15;58.51;179.94;573.92;48.07;81.72;74.11;1117.32;710.42;76.85;20.6;123.46;220.8;247.1;41.05;86.5;188.57
HF_U01 Can;13;65.2;30;BornCap;BornCap;09/09/2021;33.48;36.59;16.18;19.22;14.42;158.42;51.55;153.41;93.53;110.1;39.83;36.34;18.74;9.68;79.34;332.55;17.42;53.69;66.33;725.45;489.65;64.8;13.3;90.17;218.96;187.68;39.34;69.69;83.69
HF_U02 Can;13;68.1;30;BornCap;BornCap;09/09/2021;25.78;25.52;12.22;13.49;9.84;105.81;47.49;107.47;97.05;104.9;34.23;32.69;16.77;7.65;58.49;342.58;15.24;49.75;60.78;741.99;390.67;47.12;12.98;80.89;188.11;210.15;26.12;38.17;81.01
HF_U03 Can;13;63.1;30;BornCap;BornCap;09/09/2021;34.78;37.31;17.44;19.41;12.99;131.56;46.51;110.75;81.67;101.84;28.79;33.52;17.91;9.09;59.39;285.47;15.53;43.68;55.52;611.27;366.22;40.23;8.74;64.84;184.33;162.64;25.92;34.8;55.3
HF_U04 Can;13;63.7;30;BornCap;BornCap;09/09/2021;62.44;61.72;28.46;32.15;21.61;176.54;89.54;156.4;51.55;151.21;27.38;45.61;23.59;15.8;79.36;337.01;21.23;53.8;65.23;719.1;519.54;51.97;11.4;92.38;189.41;182.11;34.07;72.29;82.27
HF_U05 Can;13;60.8;30;BornCap;BornCap;09/09/2021;40.97;44.88;21.06;22.23;15.51;134.81;59.03;134.7;64.32;125.75;29.97;40.16;22.16;12.82;71.9;344.29;17.88;53.36;62.86;753.34;458.65;51.26;10.94;83.91;164;207.44;35.1;70.53;75.19
HF_U06 Can;13;62.5;30;BornCap;BornCap;09/09/2021;99.64;108.92;47.48;59.01;35.39;321.44;146.98;273.9;134.01;189.35;62.6;64.66;46.23;35.26;100.5;432.7;30.11;73.78;74.79;888.09;649.63;71.23;11.89;107.05;168.85;215.3;47;120.14;82.95
HF_U07 Can;13;65.1;30;BornCap;BornCap;09/09/2021;25.2;27;12.64;14.43;9.33;112.35;33.46;100.87;103.45;79;44.53;30.33;11.9;6.76;62.23;292.1;12.72;44.74;60.07;665.42;332;49.66;10.46;76.66;239.11;179.22;26.13;30.42;68.57
HF_U01 Bre;14;71.5;30;BornCap;BornCap;16/09/2021;228.8;210.77;58.46;102.19;83.54;474.15;363.27;418.2;157.12;331.15;64.46;90.23;39.33;70.21;145.63;368.44;56.99;66.6;100.4;573.41;778.34;73.63;16.21;120.73;198.94;166.91;64.51;271.31;69.24
HF_U02 Bre;14;71.1;30;BornCap;BornCap;16/09/2021;212.43;184.4;49.38;104.29;76.76;438.24;330.8;312.45;179.07;291.71;65.08;78.59;37.84;61.99;126.94;359.7;56.34;57.36;91.38;685.33;738.8;59.56;15.04;112.01;188.88;153.79;52.14;197.14;89.81
HF_U03 Bre;14;70.1;30;BornCap;BornCap;16/09/2021;82.45;82.71;22.18;44.14;37.49;212.3;147.15;149.97;85.34;161.28;32.24;44.57;20.54;23.36;77.14;246.11;33.01;38.78;72.69;515.22;468.64;46.92;11.18;92.58;190.14;110.51;39.91;118.35;67.58
HF_U04 Bre;14;73.3;30;BornCap;BornCap;16/09/2021;141.95;139.04;34.56;78.72;63.04;383;255.54;255.22;134.59;266.47;54.42;66.54;32.83;42.44;110.3;373.87;50.35;74.21;96.12;760.85;736.13;67.61;16.81;135.47;179.21;164.55;54.04;167.9;98.82
HF_U05 Bre;14;63.5;30;BornCap;BornCap;16/09/2021;210.09;122.88;36.25;77.01;52.85;415.78;388.47;335.85;142.52;288.61;51.38;70.97;45.38;89.69;115.8;353.66;50.93;55.17;80.61;580.14;834.62;62.72;15.65;105.02;163.57;147.64;45.58;223.25;87.77
HF_U06 Bre;14;71.7;30;BornCap;BornCap;16/09/2021;128.68;100.82;27.51;63.02;46.59;305.37;217.74;242.05;83.9;199.16;35.6;51.89;27.89;41.43;93.66;292.06;39.9;43.02;71.37;563.92;550.22;52.05;11.76;82.79;188.9;124.64;40.33;142.99;84.47
