Id;SplBatch;SplMass;StdC23;Origin;Group;SamplingDate;C14.0;C15.0iso;C15.0anteiso;C15.0;C16.0iso;C16.0;C16.1w7;C18.0;C18.1w9;C18.1w7;C18.2w6;C19.0;C18.3w3;C18.4w3;C20.0;C20.1w9;C20.1w7;C20.2w6;C21.0;C20.4w6;C20.5w3;C22.0;C22:1w11;C22.1w9;C23.0;C23.1w9;C22.5w6;C22.6w3;C24.1w9
HF_F08GL22;1;57.3;30;BornW;Wild;28/05/2021;65.98;46.92;20.96;16.16;25.97;125.9;140.19;142.29;73.76;121.8;31.76;30.21;17.46;43.1;63.31;179.75;14.65;35.23;36.3;496.83;353.36;27.57;7.69;31.04;172.74;131.62;32.33;57.69;40.88
HF_M02GL22;1;55.5;30;BornW;Wild;28/05/2021;105.45;80.1;33.55;30.26;46.19;216.3;178.37;180.29;145.3;164.27;51.87;34.2;28.26;44.33;80.11;185.94;18.01;39.32;38.3;543.95;385.97;33.46;12.26;38.79;148.49;129.61;29.07;75.63;47.68
HF_M03GL22;1;54.5;30;BornW;Wild;28/05/2021;104.31;67.1;26.13;22.7;41.97;192.11;333.21;216.64;130.74;167.3;50.4;35.98;26.92;88.48;79.11;184.4;20.83;40.12;39.29;463.24;556.12;29.7;8.83;30.23;158.74;113.05;36.42;108.19;41.89
HF_M05GL22;1;60.7;30;BornW;Wild;28/05/2021;69.64;36.28;14.61;15.43;25.8;187.05;189.17;208.64;135.11;122.58;53.05;30.57;18.03;56.2;75.25;167.8;16.67;38.41;44.07;511.39;458.01;33.78;10.6;36.04;165.27;137.02;34.64;74.08;42.67
HF_M06GL22;1;55.9;30;BornW;Wild;28/05/2021;47.86;22.72;9.6;12.41;14.82;127.68;126.59;106.31;63.55;64.5;24.38;15.16;9.58;37.6;36.74;86.73;10.48;19.89;21.42;252.88;242.65;38.45;8.03;18.29;128.61;64.67;17.72;39.32;28.86
HF_M09GL22;1;62.2;30;BornW;Wild;28/05/2021;126.9;64.99;27.16;32.59;44.49;258.97;284.18;222.87;174.38;145.72;61.67;35.57;25.1;85.21;73.79;179.04;19.87;38.21;40.14;480.72;507.7;30.19;9.15;31.93;159.86;118.35;32.64;82.71;42.59
HF_F02GL23;1;66.4;30;BornW;Wild;16/07/2021;117.27;108.89;39.12;39.06;67.18;233.41;176.42;142.48;82.78;180.73;35.23;34.06;32.53;39.51;73.4;165.47;16.12;32.97;45.08;469.5;228.61;38.52;51.67;9.61;114.05;103.1;26.17;53.45;41.99
HF_F05GL23;1;67;30;BornW;Wild;16/07/2021;51.19;44.33;16.45;14.29;30.39;100.37;89.28;112.22;60.05;88.75;20.18;23.04;14.66;21.57;45.24;113.11;8.19;20.13;28.21;306.56;165.47;22.26;35.99;6.66;112.62;68.54;14.08;30.39;24.21
HF_F06GL23;1;67.5;30;BornW;Wild;16/07/2021;45.89;34.19;14.68;11.52;19.18;86.2;87.08;88.73;54.73;64.41;16.3;21.34;9.82;21.05;46.02;111.68;6.71;16.22;29.81;262.36;188.76;22.18;17.56;6.34;106.07;73.69;12.53;32.15;24.99
HF_M01GL23;1;60.7;30;BornW;Wild;16/07/2021;41.3;24.38;8.45;10.3;16.05;136.3;70.48;93.22;123.47;61.38;27.54;15.97;9.57;19.05;29.17;90.76;6.87;16.59;23.4;213.38;164.74;20.46;17.32;5.87;114.26;61.36;9.55;34.11;25.61
HF_M03GL23;1;60.6;30;BornW;Wild;16/07/2021;48.28;30.43;12.16;12.45;18.84;108.39;84.7;80.54;71.33;63.35;18.77;14.43;9.93;22.64;30.9;87.51;6.56;14.44;19.56;211.88;166.22;16.69;17.28;4.84;95.61;52.82;9.49;29.5;21.16
HF_M04GL23;1;64.5;30;BornW;Wild;16/07/2021;53.82;38.13;13.78;14.86;24.09;130.49;91.53;104.55;85.35;90.74;24.12;25.16;13.13;22.59;50.19;164.92;11.24;25.65;37.22;418.42;274.03;25.85;33.78;7.33;104.38;112.37;23.63;51.9;35.73
HF_F01GL34;1;65.7;30;BornW;Wild;28/05/2021;64.7;42.08;18.48;15.3;26.36;131.97;121.33;113.51;81.5;101.41;22;25.1;13.8;33.7;53.53;135.83;12.5;25.09;28.15;370.05;287.57;22.35;29.76;6.95;103.74;90.92;24.67;44.01;33.36
HF_F04GL34;1;57.7;30;BornW;Wild;28/05/2021;7.14;4.03;NA;1.89;2.97;27.67;13.5;26.07;19.44;17.12;5.48;5.79;NA;4.62;11.62;31.47;NA;4.75;8.73;94.2;53.9;7.85;6.42;6.42;117.59;23.81;5.13;4.9;8.04
HF_F07GL34;1;55.8;30;BornW;Wild;28/05/2021;26.3;14.75;6.1;5.77;9.3;66.96;61.57;59.06;49.18;54.23;14.17;11.81;7.42;18.58;25.65;62.91;5.23;12.89;16.49;197.97;154.27;14.93;13.83;3.68;110.26;45.02;9.11;16.36;14.82
HF_F08GL34;1;59;30;BornW;Wild;28/05/2021;33.51;24.2;11.03;7.94;12.64;67.24;64.27;59.81;41.34;56.31;14.7;13.65;7.39;17.19;28.88;65.13;5.3;13.19;16.41;202.14;140.48;13.01;13.03;3.15;123.75;41.82;11.31;18.79;14.09
HF_M02GL34;1;52.8;30;BornW;Wild;28/05/2021;46.88;38.73;16.3;13.22;21.51;94.92;83.64;83.87;50.79;86.89;16.56;17.47;13.89;20.56;37.76;81.97;7.6;16.99;17.06;239.83;176.13;15.94;17.95;4.34;109.97;50.2;14.65;32.1;19.05
HF_M03GL34;1;53.3;30;BornW;Wild;28/05/2021;66.5;44.45;17.54;14.14;26.47;119.69;186.21;131.13;80.44;105.69;29.15;23.82;15.35;45.39;49.14;115.59;11.25;23.11;24.93;282.83;293.46;19.22;24.5;5.47;87.16;66;22.18;48.97;26.12
HF_M05GL34;1;54.3;30;BornW;Wild;28/05/2021;39.42;24.21;10.06;9;15.4;81.57;90.35;80.99;47.44;72.24;18.11;18.91;10.21;25.97;42.61;91.32;7.52;18.67;27.31;269.45;206.57;20.78;18.22;6.22;101.93;70.05;15.89;26.09;21.95
HF_M06GL34;1;54.2;30;BornW;Wild;28/05/2021;44.92;22.42;9.81;9.99;14.92;96.75;125.54;87.68;63.8;65.13;21.72;14.89;9.81;34.8;30.33;74.97;8.08;15.57;17.55;207.2;196.33;14.04;14.86;4.31;101.09;51.45;13.59;27.23;16.57
HF_F01GL5;1;31.1;25;BornW;Wild;30/04/2019;151.4;117;44.1;50.2;72.3;404.5;236.8;327.7;146.1;243.5;59.5;64.3;45.5;67.5;145.1;389.72;36.4;72.7;103.6;1140.9;630.2;94.4;29.24;92.1;959.5;279.4;83.6;111.6;108.7
HF_F02GL5;1;29.1;25;BornW;Wild;30/04/2019;90;68.7;33.2;27.7;35.6;199.1;167.5;150.6;76.3;151.5;28;30.3;31.6;46.4;62.9;136.26;15.2;29.2;32.2;444.5;328.8;29.3;8.84;31.5;622.8;90.1;24.5;44.6;29.4
HF_F04GL5;1;43.1;30;BornW;Wild;30/04/2019;138.6;92.4;40.9;48.8;62.2;313.6;230.7;285.7;145;285.5;47.9;75.7;43.5;66.1;164.4;467.1;35.9;83.4;105.1;1306.3;863.1;95;34.42;106.5;952.6;322.3;83.7;103.1;119.4
HF_M03GL5;1;32.2;30;BornW;Wild;30/04/2019;133.6;91.4;35;35.5;46.1;255.9;213.4;210.3;89;187.2;33.3;46.1;27.9;49.6;91.6;228.81;22.3;41.5;52.4;640.8;505.4;44.4;12.29;42.3;854.8;145.8;38.4;74.7;48.3
HF_M06GL5;1;31.8;30;BornW;Wild;30/04/2019;22.37;18.27;6.6;8.14;10.46;58.92;34.98;48.88;23.69;55.94;7.65;13.03;7.46;10.75;31.58;101.87;6.22;18.66;22.62;291.75;163.38;39.98;4.2;22.08;222.48;79.58;12.75;20.74;28.76
HF_M07GL5;1;45;30;BornW;Wild;30/04/2019;43.77;41.54;13.21;14.49;22.75;100.59;71.78;98.53;34.3;109.43;12.16;31.91;16.09;19.98;64.1;181.27;12.33;31.78;42.57;556.04;282.48;72.21;8.42;42.21;254.66;136.68;27.62;46.3;47.28
HF_F01GL6;1;42.5;40;BornW;Wild;02/05/2019;324.93;246.03;102;97.35;158.65;1076.51;604.85;759.04;291.94;619.69;135.72;190.79;102.89;160.29;415.06;1132.79;95.87;234;236.71;3370.34;2275.06;235.31;72.34;253.79;1263.4;819.94;227.33;288.28;365.71
HF_F05GL6;1;39;40;BornW;Wild;02/05/2019;88.47;73.46;21.42;26.14;33.58;201.17;139.13;227.92;71.57;201.34;39.94;56.94;7.35;36.06;139.02;419.48;27.55;70.58;87.59;1270.91;652.19;79.86;26.89;81.22;916.66;298.96;77.87;81.12;106.26
HF_F06GL6;1;39;40;BornW;Wild;02/05/2019;76.9;64.6;24.3;25.9;34.8;198.6;144.1;187.4;71.6;150.6;35.5;40.3;20.3;31.9;116.5;296.3;21.2;53;66;905.7;476.2;52.3;21.29;72.2;1022.9;234.3;74.1;84.1;101.6
HF_F07GL6;1;41.7;40;BornW;Wild;02/05/2019;49.83;40.08;15.83;17.44;23.15;132.96;99.16;95.96;47.31;95.4;25.49;22.31;18.99;22.21;53.77;134;14.44;28.33;32.31;443.72;273.96;49.68;9.78;27.68;208.45;96.88;25.3;44.89;31.96
HF_F08GL6;1;38.6;40;BornW;Wild;02/05/2019;257;181.6;70.8;74.1;108.4;531.2;498.5;509.7;218.4;444;101.7;118.2;85.5;152.6;265.2;728.2;58.2;126.5;131;2199.1;1282.9;127.6;37.69;129.5;688.4;361.2;132.5;188.1;137.6
HF_M02GL6;1;40.1;40;BornW;Wild;02/05/2019;283;188.2;74.2;89.9;111.8;689.3;521.4;546.2;238.7;511.3;146.7;121.4;97.4;153.7;366.6;851.12;74.1;191.7;196.6;2833.9;1654.6;205.42;45.95;186.26;1210.5;582.9;188.1;240.3;262.6
HF_M03GL6;1;43;40;BornW;Wild;02/05/2019;177.9;148.7;58;65.6;75.2;445;314.9;338.5;154;332;85.8;69.8;55.1;84.6;182.8;405.04;40.7;92.3;89.8;1402.7;791.1;77.7;33.98;111.8;1342.5;274.4;94.8;132.2;133.3
HF_M04GL6;1;40.4;40;BornW;Wild;02/05/2019;131.6;121.1;50.6;48.7;66.2;322;252.1;239;109.7;286.9;54.1;63.6;38.3;65.3;147.9;379.36;33.7;75.2;98.4;1215.4;651.6;88.9;29.72;102.8;1013.7;301.6;70;127.4;119.1
HF_M09GL6;1;39.8;40;BornW;Wild;02/05/2019;45.9;31.5;12.5;14.1;18.4;168.4;74.8;104.5;136.9;84.4;23.2;16.1;10.9;19;36.3;96.93;9.2;18.2;18.9;335.3;215.8;17.5;7.05;20.1;146.4;58.3;27.2;43.6;30.8
HF_M11GL6;1;38.6;25;BornW;Wild;02/05/2019;243.1;168.3;67.3;64.8;104.9;515.9;556.6;555.8;218.6;518.5;107.1;141.3;77.7;140.4;326.6;856.38;75.6;170.4;204.2;2592.2;1929.8;203.9;60.55;204.4;840;642.8;192.6;254.3;235
HF_U01GL8;1;58.5;30;BornW;Wild;02/09/2019;172.6;134.1;54.2;49.9;68.2;382.3;283.8;337.5;127.3;296.8;53.1;74.4;36.5;52.5;182;501.89;39;92;86.5;1372.2;802.3;79.3;34.1;98;461.4;302;99.7;130.9;96.7
HF_U02GL8;1;45.4;30;BornW;Wild;02/09/2019;254.4;196.8;83.3;72.6;96.7;448.7;385.9;329.1;147.7;351.8;57;77.6;49.8;79.1;186.7;410.91;41.3;82.7;90.6;1114.3;719.9;87;32.74;98.9;748.9;303.7;93.6;160.6;103.6
HF_U03GL8;1;49.1;30;BornW;Wild;02/09/2019;45.08;36.05;11.82;14.52;16.8;107.04;75.41;101.88;29.32;86.2;7.52;25.09;5.79;12.07;47.4;173.4;11.15;27.08;31.09;422.81;250.03;51.26;6.82;30.71;146.48;110.15;26.48;51.49;36.72
HF_U04GL8;1;52.9;30;BornW;Wild;02/09/2019;220.69;168.54;61.05;53.01;78.09;348.83;307.01;329.08;118.25;305.42;47.9;76.61;5.93;63.31;153.96;405.95;36.23;72.08;76.65;1091.92;833.31;61.68;26.83;84.25;488.26;256.23;88.25;124.26;83.31
HF_U05GL8;1;54.1;30;BornW;Wild;02/09/2019;27.8;22.71;9.52;8.35;11.33;58.44;42.66;63.33;21.07;54.73;5.14;17.07;6.56;7.95;33.93;100.26;5.65;16.65;20.05;267.83;146.38;30.28;5.6;19.8;113.68;65.02;14.29;17.19;20.43
HF_U06GL8;1;NA;30;BornW;Wild;02/09/2019;50.7;39.4;14.9;18.6;19;301.6;91.3;282.5;66.2;147;12.8;53.7;14.6;14.7;114;366.41;29.1;59.8;91.1;1120.4;755.5;66;29.48;87.7;808.4;299.2;102.5;111.3;79.6
HF_U07GL8;1;65.4;30;BornW;Wild;02/09/2019;137;126.7;53.1;39.1;62.1;264.7;199.6;329.2;107.9;300.5;48.9;105.9;29.9;40.3;259.7;760;44.7;131.7;172.7;2090.4;1160.5;157.5;56.57;169.9;712.6;692.6;161.5;166.2;226.5
HF_U08GL8;1;59.5;30;BornW;Wild;02/09/2019;171.5;132.76;51.73;60.89;60.74;375.88;269.5;308.03;116.45;296.85;47.85;83.01;4.81;59.17;144.89;497.12;30.86;84.29;99.41;1292.28;826.41;79.69;33.57;105.53;469.32;301.97;75.33;135.11;87.75
HF_U36BZ04;2;50.2;30;BornW;Wild;17/09/2019;89.9;91.6;32.9;31.2;53.8;295.8;161.5;234.8;93.8;239.6;24.1;75.8;29.9;40.6;199.2;556.99;39.6;113.5;113.3;1624;801.2;95.7;43.58;139.2;552.2;431.8;137.4;151.2;155.7
HF_U37BZ04;2;42.4;30;BornW;Wild;17/09/2019;57.98;49.95;18.54;20.64;23.93;134.67;85;97.44;56.52;93.19;21.46;23.9;NA;21.45;47.33;125.09;11.2;24.23;25.96;374.28;213.45;21.75;9.37;26.58;290.26;92.41;29.83;38.81;28.27
HF_U38BZ04;2;72;30;BornW;Wild;17/09/2019;142.9;120.5;39.4;45.7;62.6;339.2;220.2;291.9;124.9;293.9;70.5;65.3;67.3;69.9;140.8;269.41;31.8;71.9;65.1;802.8;584.5;76.6;27.47;89.6;704;203.9;65.7;161.1;88.8
HF_U39BZ04;2;71.1;30;BornW;Wild;17/09/2019;138.5;125.5;40;39.3;67.7;264.7;224.4;426.9;151.3;354.3;81;112.5;83.2;102.2;260.8;708.22;50.8;145.9;139.9;1855.6;1154;144.2;57.36;192.4;612.3;566.5;131.5;208.8;214.6
HF_U40BZ04;2;53.4;30;BornW;Wild;17/09/2019;102;96.2;33.2;31.7;58.5;225.1;165.5;280.7;82.1;243.1;20.8;86.3;20.6;33.5;194.6;515.94;36.6;102.5;114.9;1475.1;909.5;89;32.59;110.8;431.6;299.2;125.3;145.9;111.8
HF_U43BZ04;2;57.7;30;BornW;Wild;17/09/2019;135.5;122.3;40;44.2;77.8;392;239.6;317.3;110;257.5;54.8;85.3;36.2;64.4;229.7;542.22;34.9;99.3;109.4;1480.1;759.4;86.1;32.28;97.4;421.2;263;107.8;152.9;92.6
HF_U44BZ04;2;64.9;30;BornW;Wild;17/09/2019;189.3;170.7;56.4;65.6;109.6;405.9;303.4;341.8;125.2;363.5;30.8;95;33;56.5;199.7;619.75;47.6;124.6;130.8;1727.6;989.2;116.5;40.24;148.8;568.3;388.1;131.9;214.2;139
HF_U46BZ04;2;69.7;30;BornW;Wild;17/09/2019;68.45;67.02;21.93;25.81;38.04;161.62;109.27;223.06;73.21;231.4;19.58;76.24;24.87;31.03;189.07;605.17;33.22;110.66;139.14;1759.58;849;129.71;46.38;148.27;520.42;429.87;126.64;157.56;186.48
HF_U01BZ05;2;63.1;30;BornW;Wild;31/01/2020;54.3;60.3;27.2;20.6;43.5;251.2;95.4;276.3;119.3;212;84.2;100.2;33.5;20.4;211.4;135.41;43.8;130;146.4;1869.4;1007;130.1;47.28;189.6;688.3;539.3;181.2;130.8;210.8
HF_U03BZ05;2;48.3;30;BornW;Wild;31/01/2020;53.7;49;19.8;22.4;36.8;251.5;77.3;246.5;96.1;178.7;50.1;75.3;18.5;17.2;171.5;543.58;34.2;103.4;122;1523;837.8;116.8;35.4;112.7;681.5;412.4;159.7;115;159.3
HF_U05BZ05;2;48.6;30;BornW;Wild;31/01/2020;124.47;143.43;51.82;65.95;76.31;662.86;199.41;495.81;277.02;490.6;210.22;174.36;28.23;50.88;363.38;1137.49;77.77;244.88;248.46;3783.26;1885.63;233.08;98.21;241.15;1143.26;651;255.3;209.44;273.63
HF_U07BZ05;2;39.4;30;BornW;Wild;31/01/2020;69.1;68.7;31.8;22.9;38.6;160.8;96.5;174.9;103.6;151.3;64.9;44.5;24.4;16.6;118.4;321.82;21.8;62.4;76.7;1015.2;529.1;75.4;29.39;84.1;710.2;298.4;88.3;87.3;137.2
HF_U09BZ05;2;31.3;30;BornW;Wild;31/01/2020;9.18;9.52;4.52;4.1;5.99;36.61;15.37;25.99;11.91;24.1;4.06;7.07;3.17;2.5;17.55;45.03;3.4;9.96;10.88;138.14;87.96;21.78;2.9;8.58;78.91;34.29;10.68;9.79;13.24
HF_U10BZ05 ;2;49.2;30;BornW;Wild;31/01/2020;58.6;60.3;27.5;22.2;34.1;181.4;70.8;158.5;78.2;159.1;40.1;55.7;14.1;13.4;144.4;438.22;28;76.4;112.6;1350.4;665.9;93.6;31.35;88.7;668.5;412.2;114.7;86.5;159.3
HF_U11BZ05;2;47.8;30;BornW;Wild;31/01/2020;55.84;38.14;16.2;21.37;23.82;363.14;58.28;317.42;77.16;90.53;71.94;28.53;20.17;8.1;78.61;215.6;13.99;38.01;50.32;645.84;358.68;99.56;7.54;45.12;320.47;162.86;51.84;45.8;61.32
HF_U12BZ05;2;45.4;30;BornW;Wild;31/01/2020;16.68;17.91;7.3;6.01;10.35;40.48;30.1;48.26;26.26;48.53;16.33;13.79;5.86;5.45;28.2;79.46;5.59;14.31;16.39;239.21;130.52;34.15;3.34;13.96;98.53;55.13;16.26;17.99;21.46
HF_124 BZ7;2;61.9;30;BornW;Wild;15/09/2020;37.97;31.28;10.97;14.02;20.43;102.37;63.2;129.48;81.22;83.78;30.57;36.87;11.37;11.02;78.78;230.15;14.45;40.27;50.69;639.63;378.28;37.2;11.03;40.94;198.15;175.88;49.39;50.8;39.09
HF_125 BZ7;2;52;30;BornW;Wild;15/09/2020;68.63;53.51;19.95;18.98;33.42;157.59;112.23;125.13;170.6;98.38;53.35;27.81;11.26;17.07;61.55;170.38;13.87;29.52;34.88;434.05;282.22;24.94;9.8;29.53;182.14;108.08;32.85;46.06;30.18
HF_126 BZ7;2;70.9;30;BornW;Wild;15/09/2020;21.11;16.47;6.64;7.25;11.85;92.03;34.36;91.33;142.89;74.06;46.86;27.67;12.91;5.43;70.21;244.21;11.65;38.69;46.89;687.64;300.76;36.64;11.98;40.41;180.8;181.77;39.08;29.21;58.69
HF_127 BZ7;2;63.8;30;BornW;Wild;15/09/2020;74.38;71.36;23.83;26.44;48.68;162.58;126.24;144.05;118.22;127.78;43.64;39.1;17.53;21.84;83.35;217.31;18.92;40.56;48.68;636.47;384.36;36.22;11.23;49.11;202.87;127.53;45.43;71.04;40.71
HF_128 BZ7;2;58.7;30;BornW;Wild;15/09/2020;22.63;18.92;7.45;10.57;14.35;113.91;29.06;169.34;76.43;75.46;40.99;31.67;11.42;5.38;74.69;251.82;17.61;45.86;49.34;719.07;364.37;37.08;15.65;46.34;203.35;173.05;46.1;41.44;60.24
HF_129 BZ7;2;67.2;30;BornW;Wild;15/09/2020;44.64;35;12.14;13.07;23.25;105.04;68.37;95.31;93.58;84.75;31.08;26.16;9.63;10.42;59.12;170.75;12.47;31.32;36.61;450.92;260.98;23.83;7.66;28.91;157.68;117.24;34.84;37.28;33.09
HF_131 BZ7;2;67.6;30;BornW;Wild;15/09/2020;40.44;29.87;10.87;12.63;23.31;141.27;61.22;145.56;107.52;66.13;41.53;22.57;10.25;9.84;50;139.89;9.52;26.31;30.93;370.97;195.78;24.33;6.64;26.98;178.98;88.72;25.4;27.28;27.27
HF_F01_Ros;3;57.3;30;BornW;Wild;20/04/2022;23.16;23.96;9.68;8.25;20.62;67.23;45.21;52.32;34;44.22;8.91;14.88;4.13;7.65;21.46;52.71;4.75;10.31;20.84;165.34;92.74;12.78;29.37;2.45;104.57;34.47;13.64;16.31;10.01
HF_F02_Ros;3;61;30;BornW;Wild;20/04/2022;53.94;52.44;21.56;16.12;41.15;112.39;107.53;90.74;87.85;90.38;20.2;27.77;10.73;17.57;44.24;117.24;9.76;21.11;34.47;321.42;195.01;21.39;56.32;4.59;111.08;74.46;27.23;36.03;25.64
HF_F03_Ros;3;57.7;30;BornW;Wild;20/04/2022;43.68;47.86;20.43;14.48;34.77;92.48;85.49;70.18;49.23;84.9;13.34;23.18;7.23;11.51;34.13;92.72;8.59;18.37;33.29;303.68;155.79;21.75;46.31;3.57;103.75;62.86;25.03;29.33;19.76
HF_F05_Ros;3;58.1;30;BornW;Wild;20/04/2022;9.69;8.41;3.69;3.32;6.62;44.87;15.84;36.89;39.24;25.19;8.2;6.7;NA;2.99;11.07;35.7;5.45;7.92;10.9;124.11;61.53;8.77;20.11;1.97;114.89;26.97;8.52;8.05;8.23
HF_F07_Ros;3;57.4;30;BornW;Wild;20/04/2022;14.89;8.61;3.53;3.75;7.26;68.44;17.41;42.87;64.01;32.23;13.53;9.03;3.34;3.18;14.57;49.15;3.14;9.12;13.28;166.31;70.01;11.85;24.82;2.35;148.32;33.26;9.27;7.51;14.34
HF_M08_Ros;3;55;30;BornW;Wild;20/04/2022;8.32;6.58;3.13;3.04;5.93;31.74;12.61;22.64;21.74;21.57;5.88;7.08;NA;2.23;11.28;55;2.14;5.56;11.06;103.6;47.97;8.32;14.43;4.45;109.58;22.78;6.73;5.61;7.63
HF_U04_Ros;3;58.5;30;BornW;Wild;20/04/2022;22.73;21.78;10.29;5.76;18.31;47.69;56.96;64.37;38.19;62.91;12.19;19.08;7.92;10.01;44.91;93.38;7.33;14.35;32.42;270.2;150.88;26.38;43.42;5.91;112.5;54.99;24.08;19.95;33.42
HF_U06_Ros;3;58.9;30;BornW;Wild;20/04/2022;11.91;9.26;3.67;3.7;9.31;43.62;23.26;39.41;35.23;28.67;10.36;9.32;3.77;4.95;19.35;52.44;3.91;9.65;17.73;188.53;91.28;13.73;32.11;2.96;115.17;31.87;15.71;11.18;16.41
HF_F02_Vfr;4;68.3;30;BornW;Wild;10/08/2022;124.65;58.15;22.3;25.18;26.97;487.34;238.31;151;97.56;93.91;30.42;22.18;17.37;48.61;33.69;83.21;7.78;19.28;19.5;247.98;243.07;12.39;3.22;24.01;74.59;37.76;27.38;24.47;13.21
HF_F03_Vfr;4;79.2;30;BornW;Wild;10/08/2022;80.93;46.35;18.49;18.9;20.79;188.24;163.21;89.83;49.02;61.19;18.88;15.16;10.28;26.42;20.02;56.23;5.48;12.73;12.59;167.28;144.29;8.63;2.1;21.04;58.62;27.68;15.74;14.87;7.91
HF_F05_Vfr;4;65.7;30;BornW;Wild;10/08/2022;79.79;40.06;16.72;17.4;18.93;218.8;166.8;150.68;132.81;78.12;32.56;23.97;14.27;33.28;33.55;85.4;8.44;19.31;21.35;259.98;226.06;12.26;3.32;25.87;85.18;55.32;29.49;20.45;12.08
HF_U01_Vfr;4;68.7;30;BornW;Wild;22/04/2022;46.97;17.11;3.57;11.34;9.35;203.6;48.8;221.04;68.26;80.03;25.02;30;20.63;19.77;58.99;249.74;35.52;46.71;37.93;453.68;286.49;14.98;21.33;65.48;128.87;235.13;36.19;20.65;84.1
HF_U04_Vfr;4;71.8;30;BornW;Wild;10/08/2022;69.46;42.24;17.66;15.65;19.61;159.06;150.92;132.32;63.77;104.31;24.39;26.36;14.71;31.02;40.18;131.5;11.08;27.78;28.11;347.33;283.6;19.16;5.51;35.93;91.19;70.4;44.15;26.11;19.65
HF_M07_Ma1;5;58;30;BornW;Wild;02/03/2022;55.3;22;10.58;27.93;11.59;343.51;153.89;106.77;155.8;53.74;48.49;12.25;12.33;9.26;34.16;158.63;15.53;22.02;24.29;285.47;85.89;30.54;6.57;9.46;83.99;37.34;7.27;7.3;38.74
HF_U03_Ma1;5;62.1;30;BornW;Wild;02/03/2022;10.55;3.92;2.18;2.86;NA;47.73;14.23;29.53;45.14;24.94;10.91;7.12;2.85;3.63;13.14;46.61;NA;4.94;10.99;119.6;61.7;2.57;2.06;10.1;56.31;27.81;4.78;NA;5.83
HF_U04_Ma1;5;52.9;30;BornW;Wild;02/03/2022;27.35;8.67;3.08;4.23;4.17;56.46;50.06;50.78;32.46;25.12;9.17;8.98;3.94;11.22;17.34;55.77;2.96;7.22;10.71;145.49;105.28;4.31;4.9;11.13;64.93;28.05;7.74;5.51;8.27
HF_U05_Ma1;5;55.8;30;BornW;Wild;02/03/2022;15.66;5.48;2.12;3.15;3.2;50.53;26.08;43.38;31.66;31.08;9.16;8.49;4.3;7.15;15.77;47.49;2.73;6.59;11.41;130.16;81.01;3.77;2.93;8.27;66.23;26.03;9.68;5.78;7.7
HF_U06_Ma1;5;60;30;BornW;Wild;02/03/2022;39.49;11.97;4.19;6.5;5.85;96.9;59.56;80.61;52.88;37.05;15.71;15.45;5.6;16;32.57;86.95;4.08;11.99;20.56;239.09;177.54;8.14;3.22;14.81;60.14;44.99;16.1;10.85;16.54
HF_U08_Ma1;5;58;30;BornW;Wild;02/03/2022;41.04;15.76;5.68;8.33;6.92;90.21;76.4;86.14;33.73;38.4;10.93;13.48;7.68;17.84;27.64;57.02;3.74;7.95;16.25;155.4;110.22;3.86;2.06;9.78;62.51;31.71;8.84;8.41;9.05
HF_U01_Ma2;5;58;30;BornW;Wild;01/06/2022;25.04;11.64;4.75;7.31;5.97;93.93;59.93;65.72;70.5;42.92;17.11;14.53;8.27;9.42;26.86;99.04;5.69;12.98;20.81;251.94;137.23;15.14;7.49;4.61;104.78;71.25;12.31;9.97;19.18
HF_U02_Ma2;5;58.6;30;BornW;Wild;01/06/2022;13.81;5.7;2.16;3.27;3.57;52.44;30.39;41.96;40.07;25.42;10.54;7.85;5.41;8.24;18.78;59.15;2.86;8.51;13.89;137.89;91.42;10.82;4.88;2.85;160.89;35.39;8.26;7.12;15.09
HF_U03_Ma2;5;59.6;30;BornW;Wild;01/06/2022;6.56;2.7;NA;3.74;NA;36.38;6.69;24.11;40.58;23.66;8.57;8.6;NA;3.36;13.45;59.26;2.79;6.46;14.88;146.22;52.85;9.82;4.59;2.46;91.75;44.98;5.04;9.25;9.25
HF_U05_Ma2;5;56.6;30;BornW;Wild;01/06/2022;10.61;5.53;2.34;3.76;3.81;57.72;16.73;41.27;45.28;17.94;9.8;5.1;2.87;5.3;10.71;36.57;2.37;5.63;10.6;103.23;58.06;6.99;4.35;2.94;136.35;25.96;6.58;4.2;7.79
HF_U06_Ma2;5;58.8;30;BornW;Wild;01/06/2022;55.63;24.09;8.51;11.91;12.25;152.39;145.29;122.12;63.83;75.29;20.41;19.7;14.63;26.2;38.34;119.72;8.35;18.93;25.95;293.46;254.15;23.15;9.45;5.71;105.37;74.1;21.09;23.16;25.71
HF_F04_Ma4;5;70.5;30;BornW;Wild;11/10/2022;29.18;16.11;5.68;6.12;6.64;105.12;35.67;63.97;48.91;41.33;18.32;14.62;14.51;22.66;24.18;97.62;5.23;18.67;12.67;192.56;142.42;5.35;5.03;18.47;59.39;49.14;6.98;6.5;13.14
HF_F07_Ma4;5;67.9;30;BornW;Wild;11/10/2022;40.34;22.59;7.63;10.12;11.32;145.22;61.24;78.92;66.33;43.23;30.21;14.6;11.19;20.73;29.62;125.57;5;19.49;17.09;236.34;168.42;7.26;6.09;19.3;69.66;55.21;10.83;10.78;19.02
