Id;SplBatch;SplMass;StdStig;Origin;Group;Squalene;Unknown1;Cholest-2-ene;Unknown2;Cholest-3,5-diene;Ergosta-5,22-dien-3-ol;Unknown 3;Stigmasta-3,5-diene;C28H42O;Cholesterol;Cholestanol;Unknown 4;14a-methylcholest-9(11)-en-3b-ol;Lathosterol;Episterol;Stigmasterol;4a,14a-dimethylcholest-9(11)-en-3b-ol;Dihydroparkeol;Avenesterol;Unknown 5
HF_M07_Vig;6;99.1;10;BornW;Wild;163842.03;371555.45;1587060.91;1949489.75;3759787.4;2174313.99;2238397.19;2924693.9;589797.58;258286.42;146843.91;258805.46;227043.83;659024.65;255378.23;2159964.4;157330.28;134836.71;431365.98;59510.03
HF_U03_Vig;6;101;10;BornW;Wild;194675.47;538607.86;2510126.09;2880372.11;5580240.76;2786783.58;3086711.7;4097207.89;841789.62;299567.1;430787.79;323866.34;208259.34;875535.8;343607.6;1915172.7;181348.66;241898.83;552256.34;105265.44
HF_F11_BL4;7;100.6;10;BornW;Cap&Caged;745916.65;188000.13;715502.45;770360.5;1472848.01;917844.59;424374.29;915184.48;165018.04;163380.54;143209.36;259089.12;106684.54;522704.33;175508.08;1924942.69;131403.64;34065.38;237998.92;18756.18
HF_M09_BL4;7;103;10;BornW;Cap&Caged;298554.15;716309.95;2319191.45;2541815.28;4656721.57;3666414.52;1909352.83;2240593.13;421091.79;298514.58;362757.22;459408.29;141536.12;887950.93;499508.69;1779073.84;183139.7;71463.72;538501.48;62302.43
HF_M10_BL4;7;101.1;10;BornW;Cap&Caged;471534.93;297273.5;1059777.47;698255.85;2296175.31;1509926.5;867792.1;1258517.11;145176.56;261468.16;156247.87;552343.58;208741.99;1140030.43;540703.37;2603458.15;166876.31;35973.75;670137.26;58926.59
HF_M16_BL4;7;102.8;10;BornW;Cap&Caged;137394.67;227695.39;1070836.04;1101872.66;2055533.84;1155024.84;568311.9;1084352.83;154162.72;162576.77;206285.64;553234.76;185334.99;1152003.63;618529.71;1201582.98;250577.46;17828.67;777745.73;43551.86
HF_M01_Ole;8;97.2;10;BornW;Cap&Caged;111698.11;518752.93;2025207.98;2727409.62;4858197.33;2065930.68;1138436.84;4218397.25;525278.02;341782.42;216033.37;352487.42;164830.41;836904.88;413103.28;1867885.8;293773.43;197922.51;439413.49;61713.55
HF_U02_Ole;8;100.6;10;BornW;Cap&Caged;878928.83;122096.73;364675.34;434303.34;768364.13;438412.78;186668.59;770951.64;142521.85;214368.29;92482.25;145657;102508.22;295220.94;153349.44;1766477.19;274805.46;22490.31;143000.06;20541.32
HF_U03_Ole;8;104.3;10;BornW;Cap&Caged;75949.03;214482.52;850744.65;949315.29;1645457.62;921683.09;466490.37;1001264.78;286161.63;191963.76;106957.18;301160.45;85360.92;577879;270849.03;811353.95;360602.61;15356.47;264866.15;35502.46
HF_U04_Ole;8;103.1;10;BornW;Cap&Caged;244220.52;445004.98;1887741.42;2148293.35;4424365.68;2121273.51;968301.9;4321732.94;545774.9;325131.03;294335.75;259782.21;128561.2;574532.81;271322.09;1003100.09;217001.7;166544.67;349185.51;58393.75
HF_F01_Fr2;9;105.5;10;BornW;Cap&Caged;197918.65;284607.94;2121557.62;980316.15;3664169;1014598.29;1535724.54;3167577.67;213918.48;231893.09;267075.33;180084.6;132393.46;1009943.44;146263.05;1938341.69;31491.11;140065.25;456212.54;54979.95
HF_F03_Fr2;9;100.7;10;BornW;Cap&Caged;252950.08;76372.57;516393.4;292920.13;1079108.04;346479.82;531924.32;1230995.75;97563.67;107911.66;67343.99;82358.99;98304.71;417411.61;68061.73;1330825.89;75719.85;37550.55;208724.77;23727.52
